"","lag_ar","lag_ma","lag_arch","lag_garch","AIC","BIC","type_model","type_dist","model_name"
"68",0,2,4,3,-9.42122664771511,-9.37418936530842,"sGARCH","norm","ARMA(0,2)+sGARCH(4,3) norm"
"69",0,2,4,4,-9.42594660990623,-9.37463321091711,"sGARCH","norm","ARMA(0,2)+sGARCH(4,4) norm"
"70",0,2,4,5,-9.42400586194434,-9.3684163463728,"sGARCH","norm","ARMA(0,2)+sGARCH(4,5) norm"
"71",0,2,5,1,-9.40576969453166,-9.3630085287074,"sGARCH","norm","ARMA(0,2)+sGARCH(5,1) norm"
"72",0,2,5,2,-9.42103527386938,-9.37399799146269,"sGARCH","norm","ARMA(0,2)+sGARCH(5,2) norm"
"73",0,2,5,3,-9.41934284190436,-9.36802944291525,"sGARCH","norm","ARMA(0,2)+sGARCH(5,3) norm"
"74",0,2,5,4,-9.42363682186615,-9.3680473062946,"sGARCH","norm","ARMA(0,2)+sGARCH(5,4) norm"
"75",0,2,5,5,-9.42235545774703,-9.36248982559306,"sGARCH","norm","ARMA(0,2)+sGARCH(5,5) norm"
"76",0,3,1,1,-9.40629552317044,-9.37636270709346,"sGARCH","norm","ARMA(0,3)+sGARCH(1,1) norm"
"77",0,3,1,2,-9.42668155290586,-9.39247262024645,"sGARCH","norm","ARMA(0,3)+sGARCH(1,2) norm"
"78",0,3,1,3,-9.42504650380631,-9.38656145456447,"sGARCH","norm","ARMA(0,3)+sGARCH(1,3) norm"
"79",0,3,1,4,-9.42938103433518,-9.38661986851091,"sGARCH","norm","ARMA(0,3)+sGARCH(1,4) norm"
"80",0,3,1,5,-9.42729915215898,-9.38026186975229,"sGARCH","norm","ARMA(0,3)+sGARCH(1,5) norm"
"81",0,3,2,1,-9.40548288029766,-9.37127394763825,"sGARCH","norm","ARMA(0,3)+sGARCH(2,1) norm"
"82",0,3,2,2,-9.42498335246743,-9.38649830322559,"sGARCH","norm","ARMA(0,3)+sGARCH(2,2) norm"
"83",0,3,2,3,-9.42333596988524,-9.38057480406098,"sGARCH","norm","ARMA(0,3)+sGARCH(2,3) norm"
"84",0,3,2,4,-9.4276908473547,-9.38065356494801,"sGARCH","norm","ARMA(0,3)+sGARCH(2,4) norm"
"85",0,3,2,5,-9.42562199189726,-9.37430859290814,"sGARCH","norm","ARMA(0,3)+sGARCH(2,5) norm"
"86",0,3,3,1,-9.40380250407036,-9.36531745482853,"sGARCH","norm","ARMA(0,3)+sGARCH(3,1) norm"
"87",0,3,3,2,-9.42332396696502,-9.38056280114076,"sGARCH","norm","ARMA(0,3)+sGARCH(3,2) norm"
"88",0,3,3,3,-9.42165866428382,-9.37462138187713,"sGARCH","norm","ARMA(0,3)+sGARCH(3,3) norm"
"89",0,3,3,4,-9.42600814227014,-9.37469474328103,"sGARCH","norm","ARMA(0,3)+sGARCH(3,4) norm"
"90",0,3,3,5,-9.42394127333489,-9.36835175776335,"sGARCH","norm","ARMA(0,3)+sGARCH(3,5) norm"
"91",0,3,4,1,-9.40164122504798,-9.35888005922371,"sGARCH","norm","ARMA(0,3)+sGARCH(4,1) norm"
"92",0,3,4,2,-9.42120173990654,-9.37416445749985,"sGARCH","norm","ARMA(0,3)+sGARCH(4,2) norm"
"93",0,3,4,3,-9.41955096226139,-9.36823756327228,"sGARCH","norm","ARMA(0,3)+sGARCH(4,3) norm"
"94",0,3,4,4,-9.42431532694165,-9.36872581137011,"sGARCH","norm","ARMA(0,3)+sGARCH(4,4) norm"
"95",0,3,4,5,-9.42243313995685,-9.36256750780288,"sGARCH","norm","ARMA(0,3)+sGARCH(4,5) norm"
"96",0,3,5,1,-9.40417283988763,-9.35713555748094,"sGARCH","norm","ARMA(0,3)+sGARCH(5,1) norm"
"97",0,3,5,2,-9.41936350576104,-9.36805010677192,"sGARCH","norm","ARMA(0,3)+sGARCH(5,2) norm"
"98",0,3,5,3,-9.41767287794798,-9.36208336237644,"sGARCH","norm","ARMA(0,3)+sGARCH(5,3) norm"
"99",0,3,5,4,-9.42203350071065,-9.36216786855668,"sGARCH","norm","ARMA(0,3)+sGARCH(5,4) norm"
"100",0,3,5,5,-9.42077431446323,-9.35663256572684,"sGARCH","norm","ARMA(0,3)+sGARCH(5,5) norm"
"101",0,4,1,1,NA,NA,"sGARCH","norm","ARMA(0,4)+sGARCH(1,1) norm"
"102",0,4,1,2,-9.42977585515719,-9.39129080591535,"sGARCH","norm","ARMA(0,4)+sGARCH(1,2) norm"
